JOBID=28568
Size, Timepoint Index, Time
128K, End, 37, 0.000145451
128K, End, 38, 0.000145614
128K, End, 39, 0.000146876
128K, End, 40, 0.000147966
128K, End, 41, 0.000145448
128K, End, 42, 0.000147099
128K, End, 43, 0.000145894
128K, End, 44, 0.000146202
128K, End, 45, 0.000145706
128K, End, 46, 0.000146854
128K, End, 47, 0.000149241
128K, End, 48, 0.000145182
128K, End, 49, 0.000144654
128K, End, 50, 0.000145314
128K, End, 51, 0.000146686
128K, End, 52, 0.000149654
128K, End, 53, 0.000146914
128K, End, 54, 0.000144963
128K, End, 55, 0.000146813
128K, End, 56, 0.000147589
128K, End, 57, 0.000145379
128K, End, 58, 0.000145715
128K, End, 59, 0.000145314
128K, End, 60, 0.000145125
128K, End, 61, 0.000149298
128K, End, 62, 0.000146213
128K, End, 63, 0.000146828
128K, End, 64, 0.000147721
128K, End, 65, 0.000145267
128K, End, 66, 0.000145257
128K, End, 67, 0.000147116
128K, End, 68, 0.000146247
128K, End, 69, 0.000147324
128K, End, 70, 0.000154183
128K, End, 71, 0.000145509
128K, End, 72, 0.000146437
128K, End, 73, 0.000145189
128K, End, 74, 0.000145905
128K, End, 75, 0.000146736
128K, End, 76, 0.00014537
128K, End, 77, 0.00014551
128K, End, 78, 0.000146758
128K, End, 79, 0.000145552
128K, End, 80, 0.000147402
128K, End, 81, 0.000148936
128K, End, 82, 0.000146295
128K, End, 83, 0.000146703
128K, End, 84, 0.000146058
128K, End, 85, 0.000145551
128K, End, 86, 0.000144433
128K, End, 87, 0.000145181
128K, End, 88, 0.000144968
128K, End, 89, 0.000145255
128K, End, 90, 0.000158637
128K, End, 91, 0.000148797
128K, End, 92, 0.0001537
128K, End, 93, 0.000146481
128K, End, 94, 0.000147788
128K, End, 95, 0.000153226
128K, End, 96, 0.000154243
128K, End, 97, 0.000154537
128K, End, 98, 0.000146598
128K, End, 99, 0.000145502
128K, End, 100, 0.000146681
256K, End, 1, 0.000302477
256K, End, 2, 0.000310022
256K, End, 3, 0.000301301
256K, End, 4, 0.000300407
256K, End, 5, 0.000303339
256K, End, 6, 0.000309184
256K, End, 7, 0.000302895
256K, End, 8, 0.000303162
256K, End, 9, 0.000306429
256K, End, 10, 0.000303334
256K, End, 11, 0.000302391
256K, End, 12, 0.000303786
256K, End, 13, 0.000303465
256K, End, 14, 0.000305858
256K, End, 15, 0.00029707
256K, End, 16, 0.000304759
256K, End, 17, 0.000302436
256K, End, 18, 0.000300985
256K, End, 19, 0.000306369
256K, End, 20, 0.000298541
256K, End, 21, 0.000291054
256K, End, 22, 0.000297464
256K, End, 23, 0.000292707
256K, End, 24, 0.000290996
256K, End, 25, 0.000287292
256K, End, 26, 0.000290338
256K, End, 27, 0.000290321
256K, End, 28, 0.000290285
256K, End, 29, 0.000296322
256K, End, 30, 0.000299966
256K, End, 31, 0.000289231
256K, End, 32, 0.000291094
256K, End, 33, 0.00029793
256K, End, 34, 0.000290385
256K, End, 35, 0.00029847
256K, End, 36, 0.000289264
256K, End, 37, 0.000296878
256K, End, 38, 0.000293361
256K, End, 39, 0.00028914
256K, End, 40, 0.000284388
256K, End, 41, 0.000296646
256K, End, 42, 0.000290267
256K, End, 43, 0.000289051
256K, End, 44, 0.000296143
256K, End, 45, 0.000295584
256K, End, 46, 0.000288869
256K, End, 47, 0.000293483
256K, End, 48, 0.000290882
256K, End, 49, 0.000297716
256K, End, 50, 0.000278105
256K, End, 51, 0.00028097
256K, End, 52, 0.000282345
256K, End, 53, 0.000272791
256K, End, 54, 0.000277687
256K, End, 55, 0.000279367
256K, End, 56, 0.000272691
256K, End, 57, 0.000276369
256K, End, 58, 0.000285086
