JOBID=30313
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/non-contiguous/upcxx_rput_non_contiguous --chunk-size 4 --in-stride 8 --out-inter-chunk-stride 8 --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Total-size, Chunk-size, Chunks-per-rank, In-stride, Size-per-rank, Out-inter-chunk-stride, Out-inter-rank-stride, Timepoint, Index, Time
0, 32, 4, 4, 8, 16, 8, 36, End, 118, 2.366e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 119, 1.984e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 120, 1.518e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 121, 1.623e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 122, 2.446e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 123, 2.426e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 124, 1.108e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 125, 9.9e-07
0, 32, 4, 4, 8, 16, 8, 36, End, 126, 2.377e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 127, 2.469e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 128, 1.602e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 129, 2.484e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 130, 2.759e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 131, 1.525e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 132, 1.154e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 133, 1.218e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 134, 1.573e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 135, 2.174e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 136, 1.296e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 137, 2.813e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 138, 2.657e-06
